bucket	T_h	n	R_act_mean	R_flip_mean	dR	amp_mean_pct	cap_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0.10,0.25)	12	1335	0.781395786469605	0.7739254241365294	0.007470362333075406	3.5086714481946655	0.026211047025730568	-0.0024228250262657842	0.01743058825183231	-0.007969651397547578	0.0236733523185127	-0.008291098863215484	0.06230533805423583	-0.02677705648375948	0.08583457006193594
[0.10,0.25)	24	1335	0.7903569577462913	0.7732375445640998	0.017119413182191554	5.175518405303379	0.08860183801242567	0.0072988686959393	0.027273067145673038	0.002228355310534475	0.03344023468563487	0.03711436161770252	0.14444336442988256	0.010825075845680794	0.17996023005939626
[0.25,0.50)	1	2117	0.7793343602593061	0.7793530925698049	-1.8732310498633464e-05	0.9322576835981021	-1.746334039389644e-05	-0.00951083198637672	0.00938890966822384	-0.014914518806571058	0.015423936215001627	-0.008786980881074798	0.008847560679463145	-0.013803739438201141	0.014761416616037935
[0.25,0.50)	4	2117	0.7753659951593865	0.7749635466576807	0.00040244850170575313	1.9851030052841894	0.0007989017302082097	-0.00814765045410294	0.008917338831492597	-0.012902227119233873	0.013515786360022732	-0.015993799398087236	0.017994416878962978	-0.02526513765524372	0.027614030086809897
[0.25,0.50)	12	2117	0.7783384567103001	0.7737203211079537	0.004618135602346369	3.66237781989844	0.016913357399316663	-0.005313521391503608	0.014654525829638282	-0.010925879510846117	0.02011117351591775	-0.019062110713895793	0.05477889589937075	-0.038759338038945094	0.07770190846218449
[0.25,0.50)	24	2117	0.7831798961972627	0.7731962404725797	0.00998365572468303	5.547020744964583	0.05537954541540119	0.0010743660744460869	0.018944414840379488	-0.0037206001850969895	0.024263367200804405	0.005843987771118407	0.10718578528712165	-0.01967932382578011	0.13917348033620927
[0.50,0.75)	1	2232	0.7685180550599863	0.7793853960986398	-0.01086734103865345	1.1167652076920669	-0.012136268372092342	-0.020424167483388832	-0.001222127076402122	-0.025666898137218383	0.0037669917539081645	-0.022805362170543967	-0.0013432299741354885	-0.02867145061468071	0.004318077104294282
[0.50,0.75)	4	2232	0.77385391289145	0.7746270813383823	-0.0007731684469323415	2.380835601879283	-0.0018407869647062319	-0.00920897366708749	0.007738625447273915	-0.0143529512492261	0.012506758171466901	-0.021560457787185437	0.018781022465889554	-0.033343437237633784	0.031027716004438922
[0.50,0.75)	12	2232	0.7739310699144408	0.7737007426562876	0.00023032725815320162	4.240839017829956	0.0009767808232458903	-0.009408429719241069	0.009876105593052803	-0.014596322700962368	0.015569988028157039	-0.03914776498644189	0.0428094664221316	-0.06002529239754302	0.06916815807279417
[0.50,0.75)	24	2232	0.7720227775309181	0.773201401095078	-0.0011786235641599826	6.1667786860938785	-0.007268310674389781	-0.01015987127934777	0.007828158680446588	-0.015036199084235364	0.012754432035539661	-0.06125971648121486	0.04908096686774333	-0.09136586898815177	0.08197732783815867
[0.75,1.0]	1	2336	0.7665820674097917	0.7769458435318184	-0.010363776122026672	1.5472898055586108	-0.016035765140703623	-0.020486188784641847	0.00012739679935478936	-0.026214947715389094	0.006074724606776147	-0.03139585903026568	0.00019865869602093438	-0.03972224323036516	0.009572951542849897
[0.75,1.0]	4	2336	0.7692096568260852	0.7744163424854645	-0.0052066856593792656	3.034239351051413	-0.015798330516243644	-0.014343661942704844	0.003791791929652455	-0.018982612870536465	0.00932025734836353	-0.04302945481996692	0.011717734994005212	-0.05623972838883924	0.0289047606486393
