pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
LTC/USDT	2025-02-13 19:00:00+00:00	B	0.8954861111111111	0.07545560294687867	2025-02-13 16:00:00+00:00	[0.75,1.00]
DOGE/USDT	2025-02-13 21:30:00+00:00	B	0.371875	0.10453081876724937	2025-02-13 20:00:00+00:00	[0.25,0.50)
XRP/USDT	2025-02-14 08:00:00+00:00	B	0.47465277777777776	0.08546289211935724	2025-02-14 08:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-02-14 14:45:00+00:00	B	0.34756944444444443	0.04759716989800607	2025-02-14 12:00:00+00:00	[0.25,0.50)
DOGE/USDT	2025-02-14 17:30:00+00:00	B	0.7947916666666667	0.06844617288315358	2025-02-14 16:00:00+00:00	[0.75,1.00]
LTC/USDT	2025-02-16 01:15:00+00:00	B	0.7701388888888889	0.09372023155272226	2025-02-16 00:00:00+00:00	[0.75,1.00]
BNB/USDT	2025-02-16 14:30:00+00:00	B	0.7114583333333333	0.030162618422217544	2025-02-16 12:00:00+00:00	[0.50,0.75)
ADA/USDT	2025-02-17 04:45:00+00:00	B	0.6829861111111111	0.05704365079365071	2025-02-17 04:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-02-17 09:30:00+00:00	B	0.7524305555555556	0.07207940301775247	2025-02-17 08:00:00+00:00	[0.75,1.00]
BTC/USDT	2025-02-17 14:00:00+00:00	A	0.2861111111111111	0.020599284747487227	2025-02-17 12:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-02-19 01:00:00+00:00	B	0.7760416666666666	0.07480789513334342	2025-02-19 00:00:00+00:00	[0.75,1.00]
XRP/USDT	2025-02-19 16:15:00+00:00	B	0.5270833333333333	0.04861032545159718	2025-02-19 16:00:00+00:00	[0.50,0.75)
DOGE/USDT	2025-02-19 22:45:00+00:00	A	0.02013888888888889	0.030344827586206838	2025-02-19 20:00:00+00:00	[0.00,0.05)
LINK/USDT	2025-02-20 02:45:00+00:00	B	0.3059027777777778	0.036752605595172884	2025-02-20 00:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-02-20 10:45:00+00:00	B	0.44340277777777776	0.0701182225845904	2025-02-20 08:00:00+00:00	[0.25,0.50)
ETH/USDT	2025-02-20 14:00:00+00:00	A	0.15902777777777777	0.050053989028270074	2025-02-20 12:00:00+00:00	[0.10,0.25)
LTC/USDT	2025-02-21 02:15:00+00:00	B	0.978125	0.11951960642454046	2025-02-21 00:00:00+00:00	[0.75,1.00]
ETH/USDT	2025-02-21 09:15:00+00:00	A	0.3229166666666667	0.0818237460671987	2025-02-21 08:00:00+00:00	[0.25,0.50)
