bucket	T_h	n	run8_n	dR_mean	amp_mean_pct	cap_prod_pct	run8_cap_pct	cap_prod_vs_run8	cap_pair_pct	cov_pct	ratio_pair_over_prod	corr_dR_amp	capm_pair_pct	cap_pair_consv_pct	pair_lo95_pct	pair_hi95_pct	pair_loADJ_pct	pair_hiADJ_pct	prod_lo95_pct	prod_hi95_pct	prod_loADJ_pct	prod_hiADJ_pct	n_weeks	cov_over_amp	h0_cov_over_amp	h0_corr	bias_pct	cov_residual_pct	cap_debias_pct
[0.10,0.25)	12	1335	1335	0.007470362333	3.508671448	0.02621104703	0.02621104703	-4.510281038e-17	0.1017347415	0.07552369443	3.88136885	0.2152794176	0.1027786	0.1017347415	0.0527955339	0.1522567761	0.02773265897	0.1835553213	-0.008217291071	0.06233003323	-0.02696434424	0.08632442652	128	0.02152486933	0.01266477341	0.2841786056	0.04443652886	0.03108716557	0.0572982126
[0.10,0.25)	24	1335	1335	0.01711941318	5.175518405	0.08860183801	0.08860183801	-6.938893904e-17	0.2156903132	0.1270884752	2.434377413	0.2689829715	0.2177738356	0.2156903132	0.1505564076	0.2842172008	0.1149404266	0.3223691735	0.0364579005	0.1432337325	0.009430393904	0.1764450324	128	0.02455569959	0.0140562479	0.3012556016	0.07274836971	0.05434010549	0.1429419435
[0.25,0.50)	1	2117	2117	-1.87323105e-05	0.9322576836	-1.746334039e-05	-1.746334039e-05	-1.866860616e-18	0.01816553342	0.01818299676	-1040.209548	0.1789104214	0.01816960559	0.01816553342	0.007231806034	0.02959497054	0.001067650895	0.0368378477	-0.00867613268	0.00887162272	-0.01353980953	0.01486808162	131	0.01950426055	0.01218873013	0.2413269645	0.01136303732	0.006819959443	0.006802496103
[0.25,0.50)	4	2117	2117	0.0004024485017	1.985103005	0.0007989017302	0.0007989017302	-1.084202172e-19	0.04655004355	0.04575114182	58.26754629	0.2142107431	0.04628230809	0.04628230809	0.02271091316	0.07059419175	0.008690266923	0.08455342978	-0.0161086163	0.01747102204	-0.02636859707	0.02756875694	131	0.02304723821	0.01283983171	0.2661948302	0.02548838851	0.02026275331	0.02106165504
[0.25,0.50)	12	2117	2117	0.004618135602	3.66237782	0.0169133574	0.0169133574	5.551115123e-17	0.09893700513	0.08202364773	5.84963723	0.2316723615	0.09871683829	0.09871683829	0.05435524444	0.1460552638	0.03079724713	0.1753415318	-0.01921922344	0.05368863154	-0.03826894024	0.07612817455	131	0.02239628235	0.01266477341	0.2841786056	0.04638318523	0.0356404625	0.0525538199
[0.25,0.50)	24	2117	2117	0.009983655725	5.547020745	0.05537954542	0.05537954542	-3.469446952e-17	0.1723368514	0.1169573059	3.111922463	0.2105059112	0.1730496818	0.1723368514	0.1096435066	0.2383131353	0.07576552642	0.2815058372	0.005608496179	0.1070372799	-0.02390040879	0.1361794358	131	0.02108470678	0.0140562479	0.3012556016	0.0779702987	0.0389870072	0.09436655262
[0.50,0.75)	1	2232	2232	-0.01086734104	1.116765208	-0.01213626837	-0.01213626837	-4.163336342e-17	0.007215861211	0.01935212958	-0.5945700103	0.1478327672	0.007550451845	0.007215861211	-0.006859150013	0.02145185611	-0.01513564602	0.0300709927	-0.02272861715	-0.001485922113	-0.02908481201	0.004381414599	131	0.0173287361	0.01218873013	0.2413269645	0.01361194974	0.005740179841	-0.006396088529
[0.50,0.75)	4	2232	2232	-0.0007731684469	2.380835602	-0.001840786965	-0.001840786965	-4.033232082e-17	0.06378280907	0.06562359603	-34.64975051	0.2205919989	0.06420154562	0.06378280907	0.03414732973	0.09363822579	0.01774517025	0.110839998	-0.02220218401	0.01847712163	-0.03300144911	0.03149594469	131	0.02756326223	0.01283983171	0.2661948302	0.03056952846	0.03505406757	0.03321328061
[0.50,0.75)	12	2232	2232	0.0002303272582	4.240839018	0.0009767808232	0.0009767808232	8.153200337e-17	0.1141265123	0.1131497315	116.8394276	0.2311541853	0.1161087142	0.1141265123	0.05003978713	0.1832115864	0.01774994565	0.2263055248	-0.03871195411	0.04272583031	-0.05853363284	0.06664470148	131	0.02668097775	0.01266477341	0.2841786056	0.05370926523	0.05944046627	0.06041724709
[0.50,0.75)	24	2232	2232	-0.001178623564	6.166778686	-0.007268310674	-0.007268310674	-9.454242944e-17	0.1586016217	0.1658699324	-21.82097448	0.2402602902	0.1622197341	0.1586016217	0.07528891867	0.2461148643	0.02914393899	0.3007352093	-0.0618808386	0.05027770355	-0.09376705335	0.08492513401	131	0.02689733828	0.0140562479	0.3012556016	0.08668176995	0.07918816245	0.07191985177
