pair	date	err	bbw_ref	bbw_new	bucket_ref	bucket_new	amp_ref_1	amp_new_1	R_ref_1	R_new_1	amp_ref_4	amp_new_4	R_ref_4	R_new_4	amp_ref_12	amp_new_12	R_ref_12	R_new_12	amp_ref_24	amp_new_24	R_ref_24	R_new_24
BNB/USDT	2025-05-07 13:45:00		0.5048611111111111	0.5048611111111111	4	4	0.0043974210613323	0.004397421061332452	0.8308270676692393	0.830827067669138	0.0121507687221028	0.012150768722102967	0.9387755102041064	0.9387755102040697	0.012332616961481	0.012332616961481357	0.9396782841823288	0.9396782841822938	0.0330467845924947	0.03304678459249455	0.6493246623311646	0.6493246623311657
BNB/USDT	2025-05-08 14:00:00		0.4065972222222222	0.4065972222222222	3	3	0.0066325286515487	0.006632528651548397	0.9387254901960732	0.9387254901960861	0.01406161098919	0.014061610989189455	0.9641618497109906	0.9641618497109918	0.0236202552223033	0.023620255222303377	0.9786648313833488	0.9786648313833504	0.0473055352353088	0.04730553523530856	0.9893470790378028	0.9893470790378035
BNB/USDT	2025-05-09 14:15:00		0.9461805555555556	0.9461805555555556	5	5	0.0085933681272765	0.008593368127276402	0.5119266055045425	0.5119266055045719	0.009224074044875	0.009224074044874686	0.5230769230769766	0.5230769230769381	0.0753693571529943	0.07536935715299353	0.9359832635983184	0.9359832635983248	0.0753693571529943	0.07536935715299353	0.9359832635983184	0.9359832635983248
BNB/USDT	2025-05-10 14:30:00		0.9225694444444444	0.9225694444444444	5	5	0.0054168520877131	0.005416852087713253	0.7110481586402015	0.7110481586402051	0.0143324075068676	0.01433240750686704	0.7312633832976635	0.7312633832976466	0.0296622523669957	0.02966225236699571	0.870150025866532	0.8701500258665298	0.0296622523669957	0.02966225236699571	0.870150025866532	0.8701500258665298
BNB/USDT	2025-05-11 14:45:00		0.9298611111111112	0.9298611111111111	5	5	0.0086818049579691	0.008681804957968886	0.6155202821869417	0.6155202821869593	0.0113919980400862	0.011391998040086171	0.7069892473118161	0.7069892473118363	0.0154802554012459	0.015480255401246423	0.5717111770524288	0.5717111770524299	0.069959729899401	0.06995972989940136	0.8734952943751388	0.8734952943751351
BNB/USDT	2025-05-12 15:00:00		0.9902777777777778	0.9902777777777778	5	5	0.0111856823266226	0.011185682326622093	0.6402684563758287	0.6402684563758309	0.0322057564974555	0.03220575649745516	0.7682983682983642	0.7682983682983678	0.040538714472321	0.04053871447232105	0.8159259259259195	0.8159259259259249	0.0455535035959348	0.04555350359593413	0.8361898483849672	0.8361898483849696
BNB/USDT	2025-05-13 15:15:00		0.70625	0.70625	4	4	0.0144044236703019	0.014404423670302258	0.830328738070002	0.8303287380699871	0.0257385513090762	0.02573855130907643	0.905044510385764	0.9050445103857545	0.0289310481776797	0.028931048177680108	0.9155227032735018	0.9155227032734937	0.0334830293587507	0.033483029358751026	0.7910583941605897	0.791058394160587
BNB/USDT	2025-05-14 15:30:00		0.790625	0.790625	5	5	0.0084150614299489	0.008415061429948523	0.9618181818181742	0.9618181818181859	0.0115209841031844	0.011520984103183918	0.8552456839309364	0.8552456839309548	0.0151930109089802	0.015193010908979843	0.861027190332315	0.861027190332323	0.0211753545800887	0.021175354580088346	0.8164739884393013	0.8164739884393126
BNB/USDT	2025-05-15 15:45:00		0.8673611111111111	0.8673611111111111	5	5	0.0090784253890751	0.009078425389075329	0.7478991596639117	0.7478991596638681	0.0190570643881594	0.019057064388159795	0.551641313050442	0.5516413130504407	0.0232682331400668	0.023268233140067096	0.6327868852459064	0.6327868852459034	0.0232682331400668	0.023268233140067096	0.6327868852459064	0.6327868852459034
BNB/USDT	2025-05-16 16:00:00		0.4239583333333333	0.4239583333333333	3	3	0.0046892239794044	0.0046892239794043	0.820261437908465	0.8202614379084726	0.0078613460831188	0.007861346083118725	0.8752436647173749	0.8752436647173406	0.0278135343876427	0.027813534387642558	0.9647382920110268	0.9647382920110172	0.0278135343876427	0.027813534387642558	0.9647382920110268	0.9647382920110172
BNB/USDT	2025-05-17 16:15:00		0.3475694444444444	0.34756944444444443	3	3	0.0092006810690907	0.00920068106909111	0.7062818336163209	0.7062818336162873	0.0105128325288599	0.010512832528859595	0.6181277860326682	0.6181277860326809	0.0118249839886278	0.01182498398862808	0.5495376486129564	0.5495376486129393	0.0299607916647141	0.029960791664714104	0.7831074035453597	0.7831074035453616
BNB/USDT	2025-05-18 16:30:00		0.9034722222222222	0.9034722222222222	5	5	0.0062847770437022	0.006284777043702228	0.5463414634146705	0.5463414634146276	0.0309946809326001	0.030994680932599605	0.8892185954500433	0.8892185954500502	0.0309946809326001	0.030994680932599605	0.8892185954500433	0.8892185954500502	0.0323436086883211	0.03234360868832109	0.8938388625592342	0.8938388625592425
BNB/USDT	2025-05-19 16:45:00		0.9298611111111112	0.9298611111111111	5	5	0.0058705391626755	0.005870539162675548	0.5789473684211487	0.5789473684210695	0.0076471496987477	0.007647149698748579	0.5212121212120684	0.5212121212121097	0.0139502549049897	0.0139502549049898	0.7142857142857726	0.71428571428572	0.0210257994747414	0.021025799474741147	0.5260837619397223	0.5260837619397498
BNB/USDT	2025-05-20 17:00:00		0.5815972222222222	0.5815972222222222	4	4	0.0035389750880886	0.003538975088088203	0.5065502183406685	0.5065502183406153	0.0120541509550601	0.012054150955059573	0.5384615384615551	0.5384615384615455	0.0403659516597647	0.040365951659763866	0.8392036753445551	0.8392036753445625	0.045883043827657	0.04588304382765651	0.858538228359708	0.858538228359716
BNB/USDT	2025-05-21 17:15:00		0.9739583333333334	0.9739583333333334	5	5	0.0157877310216117	0.015787731021612128	0.6072449952335714	0.6072449952335507	0.0186623321895129	0.018662332189512965	0.6677419354838934	0.6677419354838677	0.0446992956474621	0.044699295647462556	0.86127946127947	0.8612794612794601	0.0446992956474621	0.044699295647462556	0.86127946127947	0.8612794612794601
BNB/USDT	2025-05-22 17:30:00		0.7548611111111111	0.7548611111111111	5	5	0.0037580188194529	0.003758018819453701	0.7617187500000967	0.7617187500000007	0.0045507259141817	0.00455072591418193	0.6483870967741785	0.6483870967742117	0.0178359096313905	0.017835909631391145	0.8345679012345779	0.8345679012345696	0.0574859441288291	0.05748594412882957	0.7410623084780428	0.7410623084780391
BNB/USDT	2025-05-23 17:45:00		0.7472222222222222	0.7472222222222222	4	4	0.0039460113896235	0.003946011389623805	1.0	1.0	0.0124209676696113	0.012420967669611094	1.0	1.0	0.0225550423747812	0.022555042374781564	0.9960238568588436	0.9960238568588392	0.0350806391342685	0.035080639134269065	0.6403919897741827	0.6403919897741787
BNB/USDT	2025-05-24 18:00:00		0.24375	0.24375	2	2	0.0031625927349041	0.003162592734903824	0.9579439252335584	0.9579439252335968	0.011098631513611	0.011098631513610902	0.9813581890812572	0.9813581890812345	0.0247243815210002	0.024724381520999983	0.9916317991631942	0.9916317991631841	0.029113587325983	0.029113587325983348	0.9928934010152404	0.992893401015232
BNB/USDT	2025-05-25 18:15:00		0.4239583333333333	0.4239583333333333	3	3	0.0022530980097628	0.0022530980097634767	0.5466666666668895	0.5466666666666666	0.0079309049943671	0.007930904994367438	0.8446969696969442	0.8446969696969697	0.0188358993616218	0.01883589936162222	0.9346092503987128	0.9346092503987226	0.0201276755538865	0.020127675553886615	0.9388059701492444	0.9388059701492524
BNB/USDT	2025-05-26 18:30:00		0.4305555555555556	0.4305555555555556	3	3	0.0036871840618495	0.0036871840618495355	0.6491935483870953	0.6491935483870949	0.006080880166518	0.006080880166517977	0.6063569682151652	0.6063569682151596	0.0223015165031224	0.022301516503122176	0.5973333333333073	0.5973333333333289	0.0463425512934882	0.04634255129348808	0.8062239332691562	0.8062239332691677
BNB/USDT	2025-05-27 18:45:00		0.565625	0.565625	4	4	0.0040635068063734	0.0040635068063736846	0.7999999999999793	0.8000000000000218	0.007111136911154	0.00711113691115417	0.5428571428571918	0.5428571428571446	0.0163411023713463	0.01634110237134634	0.8010657193605948	0.8010657193605719	0.0163411023713463	0.01634110237134634	0.8010657193605948	0.8010657193605719
BNB/USDT	2025-05-28 19:00:00		0.6274305555555556	0.6274305555555556	4	4	0.0066902279040679	0.006690227904068036	0.995652173913099	0.9956521739130471	0.0086100324330618	0.008610032433061243	0.7736486486486547	0.773648648648672	0.0158965632590134	0.015896563259013674	0.664226898444647	0.664226898444652	0.0244629637709618	0.024462963770961577	0.7818073721759861	0.7818073721759838
