cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W3.0_N40_hold	10	1	186	-0.022319987624955552	-0.003921581361129812	-0.022095958439471666	auto側(負)	0.9301075268817204
W3.0_N40_hold	15	1	186	-0.03939790728667487	-0.005882372041694721	-0.03906911353264259	auto側(負)	0.9301075268817204
W4.6_N40_close	3	1	186	-0.0021147470864115565	0.00041565947501171765	-0.002094619710844233	auto側(負)	0.9731182795698925
W4.6_N40_close	5	1	186	-0.0035245784773525867	0.0006927657916862109	-0.0034910328514070462	auto側(負)	0.9731182795698925
W4.6_N40_close	10	1	186	-0.007049156954705163	0.001385531583372418	-0.006982065702814088	auto側(負)	0.9731182795698925
W4.6_N40_close	15	1	186	-0.010573735432057746	0.0020782973750586285	-0.010473098554221136	auto側(負)	0.9731182795698925
W4.6_N40_close	30	1	186	-0.021147470864115496	0.004156594750117243	-0.02094619710844228	auto側(負)	0.9731182795698925
W4.6_N40_hold	3	1	186	-0.003995677676836453	-0.0004970050684276932	-0.00395805949393322	auto側(負)	0.9731182795698925
W4.6_N40_hold	3	7	186	-0.02179293859342122	-0.009644909201263372	-0.021696680220102554	auto側(負)	0.9193548387096774
W4.6_N40_hold	5	1	186	-0.006659462794727419	-0.0008283417807128093	-0.006596765823222033	auto側(負)	0.9731182795698925
W4.6_N40_hold	5	7	186	-0.03632156432236872	-0.016074848668772287	-0.03616113370017094	auto側(負)	0.9193548387096774
W4.6_N40_hold	10	1	186	-0.013318925589454826	-0.0016566835614256268	-0.01319353164644406	auto側(負)	0.9731182795698925
W4.6_N40_hold	15	1	186	-0.019978388384182245	-0.0024850253421384357	-0.019790297469666096	auto側(負)	0.9731182795698925
W4.6_N40_hold	30	1	186	-0.05504485064640746	-0.023365659342158594	-0.05474523348229453	auto側(負)	0.9731182795698925
W4.6_N40_recover	3	1	186	-0.0031844386625110516	-0.0007248139813775697	-0.003165110926664277	auto側(負)	0.967741935483871
W4.6_N40_recover	5	1	186	-0.005307397770851756	-0.0012080233022959386	-0.005275184877773801	auto側(負)	0.967741935483871
