cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W4.6_N40_recover	3	1	366	-0.0007239053004524909	0.0019331353869341589	-0.0006886339102122697	auto側(負)	0.9808743169398907
W4.6_N40_recover	5	1	366	-0.001206508834087492	0.0032218923115569322	-0.0011477231836871167	auto側(負)	0.9808743169398907
W4.6_N40_recover	10	1	366	-0.002413017668174983	0.00644378462311387	-0.002295446367374241	auto側(負)	0.9808743169398907
W4.6_N40_recover	15	1	366	-0.003619526502262474	0.0096656769346708	-0.003443169551061358	auto側(負)	0.9808743169398907
W4.6_N80_close	3	1	366	-0.0043099811625163745	-5.6115360339457295e-05	-0.004255286718151188	auto側(負)	0.9508196721311475
W4.6_N80_close	5	1	366	-0.007183301937527294	-9.352560056575154e-05	-0.007092144530251984	auto側(負)	0.9508196721311475
W4.6_N80_close	10	1	366	-0.014366603875054593	-0.0001870512011315034	-0.014184289060503967	auto側(負)	0.9508196721311475
W4.6_N80_close	15	1	366	-0.02154990581258188	-0.0002805768016972564	-0.021276433590755962	auto側(負)	0.9508196721311475
W4.6_N80_close	30	1	366	-0.04309981162516376	-0.0005611536033945153	-0.042552867181511925	auto側(負)	0.9508196721311475
W7.0_N40_close	3	1	366	-0.0017670398276927429	-0.0001373772029665023	-0.001754380664914045	auto側(負)	0.9754098360655737
W7.0_N40_close	5	1	366	-0.002945066379487909	-0.00022896200494417604	-0.002923967774856745	auto側(負)	0.9754098360655737
W7.0_N40_close	10	1	366	-0.005890132758975815	-0.0004579240098883542	-0.0058479355497134886	auto側(負)	0.9754098360655737
W7.0_N40_close	15	1	366	-0.008835199138463716	-0.0006868860148325285	-0.008771903324570226	auto側(負)	0.9754098360655737
W7.0_N40_close	30	1	366	-0.01767039827692744	-0.001373772029665059	-0.01754380664914046	auto側(負)	0.9754098360655737
W7.0_N40_hold	3	1	366	0.0003812531273888466	0.0025583285888509995	0.00039864602667162883	reverse側(正)	0.9781420765027322
W7.0_N40_hold	3	7	366	-0.006930422353929625	0.00398674046246851	-0.006817147096655028	auto側(負)	0.9562841530054644
W7.0_N40_hold	5	1	366	0.0006354218789814083	0.004263880981418327	0.0006644100444527159	reverse側(正)	0.9781420765027322
W7.0_N40_hold	10	1	366	0.0012708437579628214	0.008527761962836656	0.0013288200889054345	reverse側(正)	0.9781420765027322
W7.0_N40_hold	15	1	366	0.0019062656369442375	0.012791642944254984	0.001993230133358162	reverse側(正)	0.9781420765027322
W7.0_N40_recover	3	1	366	0.0004771074788934983	0.002072092225630748	0.0004903059588115243	reverse側(正)	0.9754098360655737
W7.0_N40_recover	5	1	366	0.0007951791314891561	0.003453487042717909	0.0008171765980192045	reverse側(正)	0.9754098360655737
W7.0_N40_recover	10	1	366	0.0015903582629783204	0.006906974085435812	0.0016343531960384145	reverse側(正)	0.9754098360655737
W7.0_N40_recover	15	1	366	0.002385537394467485	0.01036046112815372	0.002451529794057631	reverse側(正)	0.9754098360655737
W7.0_N80_close	3	1	366	-0.0031982865450228696	7.189883409088511e-05	-0.0031607583610967585	auto側(負)	0.9398907103825137
W7.0_N80_close	3	7	366	-0.01330238242248097	-0.005841045525347936	-0.013221224433862422	auto側(負)	0.9234972677595629
W7.0_N80_close	5	1	366	-0.005330477575038123	0.00011983139015146589	-0.005267930601827938	auto側(負)	0.9398907103825137
W7.0_N80_close	5	7	366	-0.022170637370801625	-0.009735075875579894	-0.022035374056437376	auto側(負)	0.9234972677595629
W7.0_N80_close	10	1	366	-0.010660955150076243	0.00023966278030294302	-0.010535861203655876	auto側(負)	0.9398907103825137
W7.0_N80_close	10	7	366	-0.04434127474160325	-0.01947015175115979	-0.04407074811287475	auto側(負)	0.9234972677595629
W7.0_N80_close	15	1	366	-0.015991432725114364	0.0003594941704544095	-0.015803791805483806	auto側(負)	0.9398907103825137
W7.0_N80_close	15	7	366	-0.06651191211240488	-0.02920522762673968	-0.06610612216931212	auto側(負)	0.9234972677595629
W7.0_N80_close	30	1	366	-0.03198286545022872	0.0007189883409088224	-0.031607583610967625	auto側(負)	0.9398907103825137
W7.0_N80_close	30	7	366	-0.1330238242248098	-0.05841045525347936	-0.13221224433862427	auto側(負)	0.9234972677595629
W7.0_N80_hold	3	1	366	-0.001355936641941832	0.0026299452944353865	-0.0013074526168287029	auto側(負)	0.9590163934426229
W7.0_N80_hold	3	7	366	-0.015361596112749792	0.00332801595251456	-0.015106601813800007	auto側(負)	0.9644808743169399
W7.0_N80_hold	5	1	366	-0.002259894403236392	0.004383242157392302	-0.002179087694714507	auto側(負)	0.9590163934426229
W7.0_N80_hold	5	7	366	-0.02560266018791631	0.005546693254190936	-0.025177669689666685	auto側(負)	0.9644808743169399
W7.0_N80_hold	10	1	366	-0.00451978880647278	0.008766484314784615	-0.004358175389429016	auto側(負)	0.9590163934426229
W7.0_N80_hold	10	7	366	-0.054264944443264775	0.008815550249106682	-0.0534186054023666	auto側(負)	0.9644808743169399
W7.0_N80_hold	15	1	366	-0.006779683209709171	0.013149726472176914	-0.006537263084143518	auto側(負)	0.9590163934426229
W7.0_N80_hold	30	1	366	-0.024038861370652736	0.014459727926521126	-0.023580390044214018	auto側(負)	0.9590163934426229
W7.0_N80_recover	3	1	366	-0.0009598637296395607	0.0022666894901873505	-0.0009218334971051886	auto側(負)	0.9426229508196722
W7.0_N80_recover	5	1	366	-0.0015997728827326079	0.003777815816978911	-0.0015363891618419851	auto側(負)	0.9426229508196722
W7.0_N80_recover	10	1	366	-0.0031995457654652084	0.007555631633957826	-0.0030727783236839733	auto側(負)	0.9426229508196722
W7.0_N80_recover	15	1	366	-0.004799318648197814	0.011333447450936736	-0.004609167485525951	auto側(負)	0.9426229508196722
W7.0_N80_recover	30	1	366	-0.019487888099704774	0.012168201902757319	-0.01911855444085694	auto側(負)	0.9426229508196722
W10.0_N40_close	3	1	366	9.765634945792041e-05	0.001198710126229234	0.00011000099290053977	reverse側(正)	0.994535519125683
W10.0_N40_close	5	1	366	0.00016276058242986857	0.001997850210382059	0.00018333498816756758	reverse側(正)	0.994535519125683
W10.0_N40_close	10	1	366	0.00032552116485972955	0.003995700420764111	0.0003666699763351264	reverse側(正)	0.994535519125683
W10.0_N40_close	15	1	366	0.000488281747289606	0.005993550631146175	0.0005500049645027007	reverse側(正)	0.994535519125683
W10.0_N40_close	30	1	366	0.0009765634945792046	0.011987101262292346	0.0011000099290053944	reverse側(正)	0.994535519125683
W10.0_N40_hold	3	1	366	0.0009873314137489716	0.0021674070492126198	0.0010017405192817553	reverse側(正)	0.994535519125683
W10.0_N40_hold	3	7	366	-0.0004968808425461034	0.006534773245197293	-0.00043999248086578935	auto側(負)	0.9644808743169399
W10.0_N40_hold	5	1	366	0.0016455523562482893	0.0036123450820210357	0.0016695675321362626	reverse側(正)	0.994535519125683
W10.0_N40_hold	10	1	366	0.0032911047124965687	0.0072246901640420635	0.0033391350642725144	reverse側(正)	0.994535519125683
W10.0_N40_hold	15	1	366	0.0049366570687448645	0.010837035246063106	0.005008702596408783	reverse側(正)	0.994535519125683
W10.0_N40_recover	3	1	366	0.0008835414398055603	0.001967413688485073	0.0008958860832481791	reverse側(正)	0.994535519125683
W10.0_N40_recover	5	1	366	0.0014725690663426032	0.003279022814141791	0.001493143472080302	reverse側(正)	0.994535519125683
W10.0_N40_recover	10	1	366	0.0029451381326851983	0.0065580456282835755	0.002986286944160595	reverse側(正)	0.994535519125683
W10.0_N40_recover	15	1	366	0.004417707199027808	0.009837068442425373	0.004479430416240904	reverse側(正)	0.994535519125683
W10.0_N80_close	3	1	366	-0.0008237571574677349	0.0014616947637979053	-0.0007980970553309954	auto側(負)	0.9617486338797814
W10.0_N80_close	3	7	366	-0.012624664517122464	-0.005161454448294496	-0.01253818655625197	auto側(負)	0.9426229508196722
W10.0_N80_close	5	1	366	-0.0013729285957795568	0.0024361579396631715	-0.0013301617588849907	auto側(負)	0.9617486338797814
W10.0_N80_close	5	7	366	-0.02104110752853744	-0.008602424080490821	-0.02089697759375328	auto側(負)	0.9426229508196722
W10.0_N80_close	10	1	366	-0.0027458571915591106	0.004872315879326349	-0.0026603235177699715	auto側(負)	0.9617486338797814
W10.0_N80_close	10	7	366	-0.04208221505707488	-0.017204848160981643	-0.04179395518750656	auto側(負)	0.9426229508196722
W10.0_N80_close	15	1	366	-0.004118785787338676	0.0073084738189895205	-0.003990485276654966	auto側(負)	0.9617486338797814
W10.0_N80_close	15	7	366	-0.06312332258561232	-0.025807272241472463	-0.06269093278125984	auto側(負)	0.9426229508196722
W10.0_N80_close	30	1	366	-0.008237571574677343	0.014616947637979043	-0.007980970553309928	auto側(負)	0.9617486338797814
W10.0_N80_close	30	7	366	-0.12624664517122464	-0.05161454448294492	-0.12538186556251968	auto側(負)	0.9426229508196722
W10.0_N80_hold	3	1	366	2.2614608656679433e-05	0.0024333534881554562	4.942618748399489e-05	reverse側(正)	0.9617486338797814
W10.0_N80_hold	3	7	366	-0.006174531469789769	0.007398454422757314	-0.0060024605681504115	auto側(負)	0.9426229508196722
