pair	ts	bucket	amp_1h	amp_4h	amp_12h	amp_24h
SOL/USDT	2023-07-13 01:15:00+00:00	[0.25,0.50)	0.01155268022181146	0.018484288354898272	0.05406654343807755	0.494916820702403
SOL/USDT	2023-07-14 01:15:00+00:00	[0.75,1.00]	0.04280417930569597	0.06437478934951117	0.09100101112234578	0.16346477923828776
SOL/USDT	2023-07-15 01:15:00+00:00	[0.75,1.00]	0.01869830996044587	0.03847536857245596	0.07515282272563825	0.0758719884933477
SOL/USDT	2023-07-16 01:15:00+00:00	[0.25,0.50)	0.04619271021291944	0.049440635149765336	0.06748466257668702	0.08083724287260911
SOL/USDT	2023-07-17 01:15:00+00:00	[0.50,0.75)	0.019699140401146155	0.025787965616045804	0.07628939828080225	0.10530085959885378
SOL/USDT	2023-07-18 01:15:00+00:00	[0.50,0.75)	0.011532738095238047	0.025669642857142773	0.0814732142857142	0.0814732142857142
SOL/USDT	2023-07-19 01:15:00+00:00	[0.75,1.00]	0.01145038167938934	0.01832061068702292	0.035114503816793825	0.05038167938931285
SOL/USDT	2023-07-20 01:15:00+00:00	[0.25,0.50)	0.009366804046459348	0.018733608092918696	0.04008992131884602	0.08804795803671779
SOL/USDT	2023-07-21 01:15:00+00:00	[0.25,0.50)	0.012981904012588445	0.014555468135326552	0.02202989771833211	0.036978756884343086
SOL/USDT	2023-07-22 01:15:00+00:00	[0.05,0.10)	0.0062087698874660514	0.01474582848273182	0.0221187427240978	0.07644547923942564
SOL/USDT	2023-07-23 01:15:00+00:00	[0.75,1.00]	0.009383924928600587	0.01795185638514897	0.01795185638514897	0.03223174214606294
SOL/USDT	2023-07-24 01:15:00+00:00	[0.25,0.50)	0.01627339300244095	0.022782750203417364	0.06672091131000817	0.07323026851098458
SOL/USDT	2023-07-25 01:15:00+00:00	[0.10,0.25)	0.009024495058014647	0.015040825096690927	0.03394929093253112	0.03738719381177486
SOL/USDT	2023-07-26 01:15:00+00:00	[0.10,0.25)	0.012350936967632143	0.02001703577512787	0.06047700170357759	0.10477001703577517
SOL/USDT	2023-07-27 01:15:00+00:00	[0.25,0.50)	0.015974440894568634	0.02515974440894565	0.03354632587859425	0.039536741214057446
SOL/USDT	2023-07-28 01:15:00+00:00	[0.25,0.50)	0.006756756756756825	0.016295707472178067	0.026629570747217873	0.04054054054054052
SOL/USDT	2023-07-29 01:15:00+00:00	[0.10,0.25)	0.007630522088353466	0.014056224899598452	0.014056224899598452	0.019678714859437833
SOL/USDT	2023-07-30 01:15:00+00:00	[0.05,0.10)	0.0043754972155928	0.009148766905330168	0.013524264120922967	0.06762132060461427
SOL/USDT	2023-07-31 01:15:00+00:00	[0.25,0.50)	0.00860655737704907	0.017213114754098285	0.01803278688524581	0.05204918032786884
SOL/USDT	2023-08-01 01:15:00+00:00	[0.10,0.25)	0.04114189756507139	0.04114189756507139	0.04114189756507139	0.05919395465994963
SOL/USDT	2023-08-02 01:15:00+00:00	[0.75,1.00]	0.015695993391160637	0.029326724494010775	0.0359355638166046	0.06071871127633204
SOL/USDT	2023-08-03 01:15:00+00:00	[0.05,0.10)	0.007324429125376913	0.012925463162430017	0.04049978457561386	0.04049978457561386
SOL/USDT	2023-08-04 01:15:00+00:00	[0.50,0.75)	0.009743135518157612	0.023914968999114224	0.03675819309123111	0.04827280779450841
SOL/USDT	2023-08-05 01:15:00+00:00	[0.25,0.50)	0.009292035398230125	0.011946902654867394	0.019911504424778886	0.03141592920353986
SOL/USDT	2023-08-06 01:15:00+00:00	[0.05,0.10)	0.011027790030877812	0.014997794441993817	0.03661226290251442	0.03705337450374944
SOL/USDT	2023-08-07 01:15:00+00:00	[0.25,0.50)	0.013651877133105813	0.016638225255972718	0.03199658703071672	0.059726962457337975
SOL/USDT	2023-08-08 01:15:00+00:00	[0.10,0.25)	0.004330879168471261	0.01169337375487222	0.02555218709398007	0.07665656128194022
SOL/USDT	2023-08-09 01:15:00+00:00	[0.50,0.75)	0.011865793780687361	0.015548281505728272	0.03396072013093283	0.03641571194762672
SOL/USDT	2023-08-10 01:15:00+00:00	[0.05,0.10)	0.005730659025787989	0.016782644289807618	0.02578796561604595	0.03110929185427759
SOL/USDT	2023-08-11 01:15:00+00:00	[0.10,0.25)	0.006449012494961715	0.012091898428053234	0.021765417170495734	0.023780733575171298
SOL/USDT	2023-08-12 01:15:00+00:00	[0.25,0.50)	0.004460665044606627	0.010543390105433965	0.010543390105433965	0.034063260340632597
SOL/USDT	2023-08-13 01:15:00+00:00	[0.25,0.50)	0.005256773150020322	0.012131014961585147	0.01455721795390212	0.03154063890012121
SOL/USDT	2023-08-14 01:15:00+00:00	[0.50,0.75)	0.013563501849568511	0.018906699547883307	0.022194821208384823	0.05589806822852458
SOL/USDT	2023-08-15 01:15:00+00:00	[0.50,0.75)	0.006387225548902201	0.00958083832335323	0.01676646706586819	0.05548902195608785
SOL/USDT	2023-08-16 01:15:00+00:00	[0.25,0.50)	0.005432511491851191	0.021730045967404913	0.041788549937317176	0.0685332218972002
SOL/USDT	2023-08-17 01:15:00+00:00	[0.75,1.00]	0.0068699012451694545	0.011163589523400515	0.018892228424216458	0.1472735079433233
SOL/USDT	2023-08-18 01:15:00+00:00	[0.75,1.00]	0.010101010101010048	0.027548209366391085	0.04132231404958671	0.059687786960514265
SOL/USDT	2023-08-19 01:15:00+00:00	[0.50,0.75)	0.006970260223048261	0.01301115241635693	0.0255576208178439	0.039033457249070626
SOL/USDT	2023-08-20 01:15:00+00:00	[0.10,0.25)	0.004589261128958303	0.007801743919228919	0.021569527306103665	0.029830197338228483
SOL/USDT	2023-08-21 01:15:00+00:00	[0.75,1.00]	0.006511627906976606	0.010697674418604506	0.03441860465116272	0.06511627906976737
SOL/USDT	2023-08-22 01:15:00+00:00	[0.25,0.50)	0.004259346900141972	0.010411736867013839	0.01656412683388554	0.0880265026029342
SOL/USDT	2023-08-23 01:15:00+00:00	[0.75,1.00]	0.013170731707317052	0.01365853658536591	0.029756097560975754	0.07268292682926838
SOL/USDT	2023-08-24 01:15:00+00:00	[0.50,0.75)	0.0027726432532346914	0.019408502772643166	0.02449168207024035	0.06238447319778179
SOL/USDT	2023-08-25 01:15:00+00:00	[0.25,0.50)	0.009615384615384581	0.026923076923076862	0.026923076923076862	0.04278846153846157
SOL/USDT	2023-08-26 01:15:00+00:00	[0.10,0.25)	0.00441826215022108	0.0073637702503682925	0.012272950417280314	0.012272950417280314
SOL/USDT	2023-08-27 01:15:00+00:00	[0.00,0.05)	0.0029513034923757367	0.005902606984751648	0.02459419576979833	0.03344810624692589
SOL/USDT	2023-08-28 01:15:00+00:00	[0.50,0.75)	0.008264462809917439	0.011181332036947031	0.03743315508021388	0.03743315508021388
SOL/USDT	2023-08-29 01:15:00+00:00	[0.50,0.75)	0.01014983083615277	0.016916384726921113	0.03141614306428219	0.0932817786370227
SOL/USDT	2023-08-30 01:15:00+00:00	[0.50,0.75)	0.008800370541917448	0.01296896711440487	0.01991662806855024	0.05326540064844829
SOL/USDT	2023-08-31 01:15:00+00:00	[0.50,0.75)	0.004360465116279063	0.006298449612403052	0.022286821705426396	0.0794573643410853
SOL/USDT	2023-09-01 01:15:00+00:00	[0.50,0.75)	0.0035353535353535494	0.009090909090909077	0.010101010101010065	0.045959595959595964
SOL/USDT	2023-09-02 01:15:00+00:00	[0.50,0.75)	0.005655526992287889	0.012853470437017995	0.013881748071979413	0.028791773778920428
SOL/USDT	2023-09-03 01:15:00+00:00	[0.25,0.50)	0.006629270780214307	0.008669046404895367	0.017848036715961135	0.03314635390107081
SOL/USDT	2023-09-04 01:15:00+00:00	[0.75,1.00]	0.004570848146267134	0.021330624682580075	0.033519553072625705	0.045708481462671514
SOL/USDT	2023-09-05 01:15:00+00:00	[0.50,0.75)	0.011357769747031433	0.020650490449148094	0.03665462054723786	0.08105317501290657
SOL/USDT	2023-09-06 01:15:00+00:00	[0.25,0.50)	0.010344827586206938	0.021674876847290702	0.03103448275862064	0.05812807881773398
SOL/USDT	2023-09-07 01:15:00+00:00	[0.00,0.05)	0.00969882593159782	0.013272077590607351	0.02399183256763649	0.049004594180704485
SOL/USDT	2023-09-08 01:15:00+00:00	[0.75,1.00]	0.010961634280019873	0.011958146487294569	0.03836571998006973	0.03836571998006973
SOL/USDT	2023-09-09 01:15:00+00:00	[0.05,0.10)	0.002558853633572014	0.006141248720573234	0.008188331627430918	0.021494370522006048
SOL/USDT	2023-09-10 01:15:00+00:00	[0.50,0.75)	0.005184033177812412	0.06842923794712288	0.06842923794712288	0.07983411093830997
SOL/USDT	2023-09-11 01:15:00+00:00	[0.75,1.00]	0.016547159404302302	0.02537231108659685	0.06067291781577504	0.06232763375620533
SOL/USDT	2023-09-12 01:15:00+00:00	[0.50,0.75)	0.00847457627118636	0.05423728813559327	0.06949152542372884	0.06949152542372884
SOL/USDT	2023-09-13 01:15:00+00:00	[0.50,0.75)	0.005537098560354454	0.021040974529346765	0.04817275747508292	0.09080841638981157
SOL/USDT	2023-09-14 01:15:00+00:00	[0.75,1.00]	0.018828451882845158	0.02719665271966525	0.031903765690376534	0.0339958158995817
