half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	40	recover	auto	30	30	0.02	0.00011	12470	-0.0716335	-1	0.0210533	0.0366368	0.0611314	0.118839	-0.0873956	-0.0557216	0.110666			-0.0183024	main
1.5	80	close	auto	3	1	0.02	0.00011	12470	-0.00522706	-0.00758577	-0.0069477	-0.00610344	-0.00469511	0.00134965	-0.00534224	-0.00510826	0			-0.00242946	main
1.5	80	close	auto	3	7	0.02	0.00011	12470	-0.00567029	-0.00758577	-0.00695201	-0.00613193	-0.004921	-0.00220914	-0.00573691	-0.0056047	0			-0.00265037	main
1.5	80	close	auto	3	30	0.02	0.00011	12470	-0.00567029	-0.00758577	-0.00695201	-0.00613193	-0.004921	-0.00220914	-0.00573691	-0.0056047	0			-0.00265037	main
1.5	80	close	auto	5	1	0.02	0.00011	12470	-0.00871177	-0.012643	-0.0115795	-0.0101724	-0.00782519	0.00224941	-0.00890373	-0.00851376	0			-0.00404909	main
1.5	80	close	auto	5	7	0.02	0.00011	12470	-0.00945049	-0.012643	-0.0115867	-0.0102199	-0.00820167	-0.0036819	-0.00956151	-0.00934117	0			-0.00441728	main
1.5	80	close	auto	5	30	0.02	0.00011	12470	-0.00945049	-0.012643	-0.0115867	-0.0102199	-0.00820167	-0.0036819	-0.00956151	-0.00934117	0			-0.00441728	main
1.5	80	close	auto	10	1	0.02	0.00011	12470	-0.0174235	-0.0252859	-0.023159	-0.0203448	-0.0156504	0.00449883	-0.0178075	-0.0170275	0			-0.00809819	main
1.5	80	close	auto	10	7	0.02	0.00011	12470	-0.018901	-0.0252859	-0.0231734	-0.0204398	-0.0164033	-0.0073638	-0.019123	-0.0186823	0			-0.00883457	main
1.5	80	close	auto	10	30	0.02	0.00011	12470	-0.018901	-0.0252859	-0.0231734	-0.0204398	-0.0164033	-0.0073638	-0.019123	-0.0186823	0			-0.00883457	main
