bucket	T_h	n	R_act_mean	R_flip_mean	dR	amp_mean_pct	cap_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0.10,0.25)	12	1335	0.781395786469605	0.7732667227876875	0.008129063681917643	3.5086714481946655	0.028522213641300635	-0.0016783021618666388	0.018104145185864496	-0.007067218692406445	0.024184695525502557	-0.005800385425728867	0.0646598421943526	-0.024251759642437625	0.08796400697605515
[0.10,0.25)	24	1335	0.7903569577462913	0.7726905613354866	0.01766639641080461	5.175518405303379	0.09143275977950481	0.007812470751337932	0.02782719736232004	0.0028168149316563883	0.033946062449458685	0.03961544052721356	0.14787804107024152	0.014149086227310087	0.18290495556350916
[0.25,0.50)	1	2117	0.7793343602593061	0.7799209847743714	-0.0005866245150652877	0.9322576835981021	-0.0005468852115566251	-0.009957101312768085	0.008697527412902651	-0.015316760987122613	0.014546886501746195	-0.009196469343591987	0.008237436527909326	-0.014338553010904009	0.01396053410121357
[0.25,0.50)	4	2117	0.7753659951593865	0.7753921286842819	-2.6133524895408522e-05	1.9851030052841894	-5.187773880854464e-05	-0.008516717124779338	0.008446519691777529	-0.013111885710781956	0.013042095467497029	-0.01675149446286646	0.017036566382560788	-0.025764083378066117	0.02660207496969755
[0.25,0.50)	12	2117	0.7783384567103001	0.7736676439502487	0.004670812760051496	3.66237781989844	0.017106281053311214	-0.0053341023888076764	0.014793865453504772	-0.01097431007227685	0.02036697683967311	-0.019116750635840545	0.05530964134702036	-0.03929714507289405	0.07691065469201222
[0.25,0.50)	24	2117	0.7831798961972627	0.7729939149065486	0.010185981290714234	5.547020744964583	0.05650184952741298	0.0011984768744678395	0.019253982501845728	-0.0034648800942066894	0.024343820103702923	0.006608981175408332	0.10832846284029017	-0.018491440707735302	0.13949173072654822
[0.50,0.75)	1	2232	0.7685180550599863	0.7792154410832881	-0.010697386023301687	1.1167652076920669	-0.011946468524074723	-0.020162063240833285	-0.0011001650776770592	-0.02535270084765666	0.0036921841775035286	-0.022460468756153828	-0.0012165145215334036	-0.028179349385342355	0.004201305704331134
[0.50,0.75)	4	2232	0.77385391289145	0.7753218153227504	-0.0014679024313003423	2.380835601879283	-0.003494834368525014	-0.009783826854324768	0.006899191602855519	-0.014857358652782877	0.01166843134561186	-0.02289054812838594	0.016685907308863646	-0.03463841010675629	0.029516417169919734
[0.50,0.75)	12	2232	0.7739310699144408	0.7739270537551934	4.016159247319538e-06	4.240839017829956	1.7031884837851288e-05	-0.009609711681302858	0.009682249567441788	-0.014845910006907057	0.015424194199278329	-0.039963679788459	0.0418308636205245	-0.06077164445740669	0.06838978165109784
[0.50,0.75)	24	2232	0.7720227775309181	0.7735715332079034	-0.001548755676985361	6.1667786860938785	-0.009550833498800218	-0.010489842591824707	0.007507442566310264	-0.015476941236140537	0.012244462751874727	-0.06337690376473878	0.04702968926976436	-0.09345413435616208	0.07855344260821655
[0.75,1.0]	1	2336	0.7665820674097917	0.7771212970215828	-0.010539229611791118	1.5472898055586108	-0.016307242536765833	-0.020623324173182155	-0.00011359276787166964	-0.02632243498445921	0.0059546191619358054	-0.031749031839651824	-0.00017943637485401441	-0.040119992180618465	0.009020689000002947
[0.75,1.0]	4	2336	0.7692096568260852	0.7743597521893362	-0.005150095363250841	3.034239351051413	-0.015626622012843126	-0.014327561386575902	0.003892016449068523	-0.018994044372057015	0.00932431202115219	-0.04283296991577994	0.012043332875705337	-0.05661461001611945	0.029049191874249265
[0.75,1.0]	12	2336	0.7685304455352231	0.7733643127976506	-0.004833867262427512	5.059548841050002	-0.024457187505404664	-0.015006781682599784	0.005417323579144987	-0.02108285778146268	0.011435035475101635	-0.07521349836903732	0.02768259404345875	-0.10383748551116782	0.058656671617514436
