seed	bucket	T_h	dR	lo95	hi95	loADJ	hiADJ	sig95	sigADJ	cap_hiADJ_pct
4	[0.10,0.25)	4	0.003177165304116432	-0.00757135932306504	0.013883124962978138	-0.013499779449856562	0.019633381555017603	False	False	0.038385485371008124
4	[0.10,0.25)	12	0.0074703623330754036	-0.0025117357949290165	0.017504065881680724	-0.0077236467639452905	0.022758819457426197	False	False	0.08261346244980634
4	[0.10,0.25)	24	0.017119413182191547	0.007222801058882474	0.02710389247948848	0.001321344837270888	0.033025306694027666	True	True	0.17811557624234947
4	[0.25,0.50)	1	-1.873231049863745e-05	-0.009309619788539156	0.009453165447683496	-0.014745593697912004	0.015200872692845436	False	False	0.014432333520773095
4	[0.25,0.50)	4	0.0004024485017057482	-0.008032783515124643	0.008759047883702669	-0.012769901107155049	0.01361937428266107	False	False	0.02770604125877465
4	[0.25,0.50)	12	0.004618135602346366	-0.005204544829441572	0.014424946903241156	-0.010659088516101756	0.019839098664819404	False	False	0.07534487058031084
4	[0.25,0.50)	24	0.009983655724683026	0.000990369413078545	0.01903620737472752	-0.004065536899397551	0.024103269314368004	True	False	0.13701912512505407
4	[0.50,0.75)	1	-0.01086734103865345	-0.020473288514006437	-0.0013555774726494935	-0.026252247168576104	0.00488370099966249	True	False	0.005361139365284424
4	[0.50,0.75)	4	-0.000773168446932345	-0.009336385097930038	0.007629648555268159	-0.014758637086279192	0.01211207407790829	False	False	0.02971580098488189
4	[0.50,0.75)	12	0.00023032725815319953	-0.009400828289783851	0.009729472468808698	-0.0150377215649556	0.014927135572222468	False	False	0.06684683624491107
4	[0.50,0.75)	24	-0.0011786235641599847	-0.010438949486288351	0.007867864327518166	-0.015181741063808414	0.01282896208455773	False	False	0.08248252714858971
4	[0.75,1.0]	1	-0.010363776122026675	-0.020660976680624103	2.3052813174162384e-05	-0.02594928144878617	0.005637367322763439	False	False	0.00876912251876616
4	[0.75,1.0]	4	-0.0052066856593792656	-0.01431920861246595	0.003917417627555035	-0.018868894528993617	0.009182342449974741	False	False	0.029128806105490707
4	[0.75,1.0]	12	-0.004802623337652543	-0.015094932550667463	0.005568236059933201	-0.021055974632508512	0.011596687765395498	False	False	0.060817782527225785
4	[0.75,1.0]	24	-0.0018146807332620903	-0.011582194566423306	0.008039111315460075	-0.017698176680818384	0.013245375340569429	False	False	0.09581052558281844
5	[0,0.05)	1	0.005802707558911486	-0.01136158394171307	0.02222568104366886	-0.0213534823941462	0.030998322770033535	False	False	0.021404404036599746
5	[0,0.05)	4	0.012660192441886172	-0.006721117914066027	0.030931108544697418	-0.01798611004522942	0.040790617637657824	False	False	0.058089211589432234
5	[0,0.05)	12	0.020362455998282077	0.004326017191139555	0.03694089361412319	-0.003900268761157245	0.04633755864228386	True	False	0.1424571626322284
5	[0,0.05)	24	0.015675949480729645	0.00024627974629805934	0.031793865910699486	-0.0082948137096899	0.04072058512535148	True	False	0.18086249130910823
5	[0.05,0.10)	1	-0.005730536223063829	-0.021184220262491452	0.010358907924503507	-0.029796725882607407	0.020938865669958756	False	False	0.016166244600190206
5	[0.05,0.10)	4	0.005309315758143511	-0.010618785530611649	0.02075885414932044	-0.020536042151705958	0.030045384071522414	False	False	0.05117481258910737
5	[0.05,0.10)	12	-0.0043694821927976	-0.019679615001691474	0.012186845337950636	-0.027684047340564948	0.021952367430893707	False	False	0.06823910980612251
5	[0.05,0.10)	24	0.006827966493236634	-0.009331552848375094	0.023114600559863783	-0.01745576602020488	0.03273297446670994	False	False	0.15757959527607374
5	[0.10,0.25)	1	-0.0016719620093731114	-0.01349525601310101	0.010279528528395145	-0.019513456052691756	0.017463671120506792	False	False	0.015809185716635355
5	[0.10,0.25)	4	0.003177165304116432	-0.007465740831089387	0.013800520279526374	-0.013213630542192644	0.019977420645391483	False	False	0.03903360405454397
5	[0.10,0.25)	12	0.0074703623330754036	-0.002374929954673941	0.017701879192609297	-0.007913840428952153	0.023370197825747847	False	False	0.08514399190878685
5	[0.10,0.25)	24	0.017119413182191547	0.007389668420850749	0.027200139855173482	0.0014836351641753318	0.033561442033085545	True	True	0.18025567977064938
5	[0.25,0.50)	1	-1.873231049863745e-05	-0.00936029087798351	0.009381248096278112	-0.013877939728185927	0.014484200430445501	False	False	0.013967367657064376
5	[0.25,0.50)	4	0.0004024485017057482	-0.008127846760579122	0.008759996394289999	-0.012585429566905053	0.013792988041124034	False	False	0.027999554965928316
5	[0.25,0.50)	12	0.004618135602346366	-0.005299778477707085	0.01458402653026562	-0.01039805798663121	0.019742966757180586	False	False	0.07513176791503155
5	[0.25,0.50)	24	0.009983655724683026	0.0009839485763254135	0.018898431016229143	-0.004406155936806009	0.024359870004906175	True	False	0.13825672903890004
5	[0.50,0.75)	1	-0.01086734103865345	-0.020674195627113853	-0.0013789701316971612	-0.026142582039546915	0.004341211982869233	True	False	0.004840334050535101
5	[0.50,0.75)	4	-0.000773168446932345	-0.009328046970830454	0.007698502728965945	-0.01449959259866686	0.012721071850595886	False	False	0.031186751976845627
5	[0.50,0.75)	12	0.00023032725815319953	-0.009248171091569099	0.009756323520836736	-0.015076458791328467	0.0159153838761214	False	False	0.070585699775528
5	[0.50,0.75)	24	-0.0011786235641599847	-0.01028346583970708	0.007905420792398931	-0.015515872424797749	0.012913694097663466	False	False	0.08283911271057305
5	[0.75,1.0]	1	-0.010363776122026675	-0.020622267314590253	0.0001519193937613611	-0.026654036436456675	0.005745127627910042	False	False	0.00906791094962124
5	[0.75,1.0]	4	-0.0052066856593792656	-0.014209145249429468	0.00392046209041778	-0.020015191202182835	0.00908637604864567	False	False	0.028039165331147257
5	[0.75,1.0]	12	-0.004802623337652543	-0.015076620898975143	0.005609648382272832	-0.02074170456958276	0.010861505069204396	False	False	0.056319360277638036
