bucket	T_h	n	R_act_mean	R_act_med	R_flip_mean	dR	dR_mirror	dR_consv	amp_mean_pct	absnet_mean_pct	dR_lo95	dR_hi95	dR_loADJ	dR_hiADJ	dRm_lo95	dRm_hi95	dRm_loADJ	dRm_hiADJ	cap_pct	cap_consv_pct	cap_lo95_pct	cap_hi95_pct	cap_loADJ_pct	cap_hiADJ_pct
[0.10,0.25)	12	1335	0.781395786469605	0.7950617283950626	0.7739254241365294	0.007470362333075406	0.00770099435410572	0.007470362333075406	3.508671448194671	1.6663579600634932	-0.0024204563741434116	0.017401126646924572	-0.008270105364733391	0.02312781658683057	-0.002396754150038504	0.017805129200646953	-0.007817443644266633	0.02376041386363261	0.026211047025730606	0.026211047025730606	-0.008436993859850493	0.062447371877544844	-0.02870588256077828	0.08353248701101237
[0.10,0.25)	24	1335	0.7903569577462913	0.8045112781954912	0.7732375445640998	0.017119413182191554	0.017502222394501294	0.017119413182191554	5.175518405303383	2.4513428486838986	0.0072978113264775425	0.027184985781963288	0.0018257979456650889	0.03307607839349977	0.007715320306785096	0.02755372294196152	0.0027215457596159016	0.03287551903727567	0.08860183801242574	0.08860183801242574	0.03702520883786958	0.1443001189452653	0.008601811735430905	0.1789524392302463
[0.25,0.50)	1	2117	0.7793343602593061	0.7894736842106056	0.7793530925698049	-1.8732310498635354e-05	-1.2669495397101918e-05	-1.2669495397101918e-05	0.9322576835981068	0.43423795839976415	-0.009474519064757847	0.009422193984181917	-0.014706857300862509	0.014927920730722528	-0.009322890975075552	0.009588225386201556	-0.014556597569892691	0.014900092788393096	-1.746334039389829e-05	-1.181123443125911e-05	-0.008757060038606664	0.009056066632297086	-0.01370626718476156	0.014304480188541665
[0.25,0.50)	4	2117	0.7753659951593865	0.7888446215139517	0.7749635466576807	0.0004024485017057525	0.00041122468542686725	0.0004024485017057525	1.985103005284194	0.9573817879783347	-0.008134380555471513	0.008747771912708022	-0.01279750675800211	0.013111658118030464	-0.008053459058108167	0.008832068513974028	-0.012937728557040383	0.01365965818342289	0.0007989017302082104	0.0007989017302082104	-0.015857729367767307	0.018308940406588665	-0.025494270340819022	0.027203751704534512
[0.25,0.50)	12	2117	0.7783384567103001	0.7894999999999889	0.7737203211079537	0.004618135602346369	0.004620806407163093	0.004618135602346369	3.662377819898445	1.7355243089675585	-0.005134862815571497	0.014504475932940042	-0.011091013361685217	0.019971403458398672	-0.00519611239956841	0.014501186135137085	-0.010232135658223578	0.019993216510835618	0.016913357399316684	0.016913357399316684	-0.01893925702212461	0.05420552708761911	-0.038962706942504116	0.07446704579986065
[0.25,0.50)	24	2117	0.7831798961972627	0.7996661101836398	0.7731962404725797	0.00998365572468303	0.010157401283127863	0.00998365572468303	5.5470207449645885	2.6383608255364805	0.0008517909627537204	0.0188790951419985	-0.003730969874292153	0.023862159455076328	0.001377242219873594	0.01910516262216728	-0.0038653886795366192	0.024105613370276727	0.055379545415401236	0.055379545415401236	0.00518787076249777	0.10618815758704123	-0.023741845333791346	0.13639836024137214
[0.50,0.75)	1	2232	0.7685180550599863	0.777777777777739	0.7793853960986398	-0.01086734103865345	-0.010685202848993398	-0.010685202848993398	1.116765207692072	0.5125162601036057	-0.020337149882973787	-0.0013198732290515198	-0.02547784127382199	0.004156079341519826	-0.02043351648973882	-0.0011810745185184932	-0.02564058358510503	0.004239645395534444	-0.012136268372092397	-0.011932862778888031	-0.023018962559047663	-0.001547789974618746	-0.028662941984731093	0.004075171973696756
[0.50,0.75)	4	2232	0.77385391289145	0.7887323943662045	0.7746270813383823	-0.0007731684469323431	-0.0005565282152820088	-0.0005565282152820088	2.3808356018792876	1.1337278311081138	-0.009276030368048587	0.007655361195589008	-0.01412801977126893	0.012186267815870854	-0.009182816280485076	0.007944609729197027	-0.01434657910231901	0.012651268088324907	-0.001840786964706239	-0.0013250021883937473	-0.021864081110523848	0.01858573318192955	-0.034429388839205245	0.030930226339359206
[0.50,0.75)	12	2232	0.7739310699144408	0.7872223996381111	0.7737007426562876	0.00023032725815320157	0.0005626450334935809	0.00023032725815320157	4.240839017829962	1.93806883476719	-0.009309213719688484	0.009776052729653243	-0.014725887525631105	0.015106925446350858	-0.008787423466900016	0.009946667717806442	-0.015000769785119876	0.015703057518684876	0.0009767808232458914	0.0009767808232458914	-0.03903581790273977	0.04225113294172155	-0.0607042744897407	0.068089867163632
[0.50,0.75)	24	2232	0.7720227775309181	0.7883484162895875	0.773201401095078	-0.001178623564159982	-0.0007807357388854453	-0.0007807357388854453	6.166778686093881	2.8495174218309645	-0.010314777318257718	0.007801945140843401	-0.01564791214022866	0.012315701341909369	-0.009698170763455178	0.008143559294264068	-0.015486915663609152	0.013483454446401618	-0.00726831067438978	-0.004814624514030522	-0.06209305535101454	0.048661363420307906	-0.09355282021723821	0.08175340816756431
[0.75,1.0]	1	2336	0.7665820674097917	0.7714285714285767	0.7769458435318184	-0.010363776122026675	-0.010231329135551043	-0.010231329135551043	1.5472898055586157	0.7331742601016488	-0.020414576677100865	0.0001780951133722967	-0.026177345738581593	0.0059872162730589505	-0.020366767977714584	0.0003161143416799834	-0.025986344074188483	0.0058577661634524915	-0.01603576514070368	-0.015830831268752975	-0.031598168958862215	0.0002919424488520865	-0.04032445610344284	0.009104074787343765
[0.75,1.0]	4	2336	0.7692096568260852	0.7773978454378132	0.7744163424854645	-0.005206685659379265	-0.0048580648106416975	-0.0048580648106416975	3.034239351051418	1.3890516344776616	-0.014249197767741325	0.0040580052408905835	-0.019363363598739643	0.00906708718521163	-0.013896700955114409	0.0042899425653151685	-0.018889936963410466	0.00937877607883719	-0.015798330516243665	-0.014740531418407194	-0.04290242727915754	0.011772653199055298	-0.057884694091666494	0.027711090782794646
[0.75,1.0]	12	2336	0.7685304455352231	0.7823934567369797	0.7733330688728756	-0.004802623337652542	-0.004928479370721602	-0.004802623337652542	5.059548841050007	2.270339921342273	-0.015230502765656942	0.005408657258200122	-0.02159013186436862	0.010880059883621295	-0.015197398142889416	0.005232140729983316	-0.02016898747186385	0.011393465986296541	-0.024299107342019635	-0.024299107342019635	-0.07645138550972873	0.02935608522907	-0.10302794646006636	0.06054745035489276
[0.75,1.0]	24	2336	0.7710248819715844	0.7820209016891475	0.7728395627048463	-0.0018146807332620873	-0.0017898580917115534	-0.0017898580917115534	7.115662294393682	3.200639288194488	-0.011820442510034886	0.008328010895307944	-0.017399873365846114	0.013574397460243123	-0.011627093433781653	0.007972499440234725	-0.017588988123099475	0.01386549742662411	-0.012912655270035713	-0.01273602573550733	-0.08336302452388422	0.05716415491066246	-0.12083786203486012	0.09817392084803842
