pair	T_h	max_err_eps_plus_vs_direct	max_err_Ract_vs_run8	max_err_amp_vs_run8	max_err_mirror_logR	max_err_mirror_AB_swap	max_dev_mirror_priceR	mean_signed_dev_mirror_priceR	mean_abs_dev_mirror_priceR	brute_half	brute_alt	brute_rand
DOGE/USDT	1	1.2212453270876722e-15	3.6637359812630166e-13	1.3739009929736312e-15	0.0	0.0	0.018169270072704302	4.7471200831950964e-05	0.0018438055301832211	0.0	0.0	0.0
DOGE/USDT	4	3.0119136351647313e-15	4.3087755585702325e-13	2.8362728832220796e-15	0.0	0.0	0.026974428919202875	0.00012174358280469521	0.0037008272330967067	0.0	0.0	0.0
DOGE/USDT	12	4.730590918988753e-15	3.291811268013589e-13	4.551914400963142e-15	0.0	0.0	0.05029614889741918	0.0001461645135957088	0.0066771100450208	0.0	0.0	0.0
DOGE/USDT	24	8.243405957841787e-15	2.9409807922320397e-13	6.265821195228227e-15	0.0	0.0	0.06230442291054328	0.00018676172151556455	0.009407833911570363	0.0	0.0	0.0
BNB/USDT	1	1.5516559391526285e-15	1.8635093468333253e-12	1.824495415858607e-15	0.0	0.0	0.01190103883376048	1.3246231535545014e-05	0.001081096823171644	0.0	0.0	0.0
BNB/USDT	4	4.459974056736371e-15	9.222622665561175e-13	4.4027281820291364e-15	0.0	0.0	0.013014789084239808	0.00019383341873285332	0.0021602715794306806	0.0	0.0	0.0
BNB/USDT	12	8.128914208427318e-15	5.939693181744587e-13	6.777564620641385e-15	0.0	0.0	0.035047443069400996	0.00028937714650114705	0.0037947091040558224	0.0	0.0	0.0
BNB/USDT	24	1.2446640940133591e-14	1.2241319069516976e-12	1.1466522176206695e-14	0.0	0.0	0.04251565739787011	9.127511203478088e-05	0.005612147284805871	0.0	0.0	0.0
LINK/USDT	1	1.7659484985443896e-15	2.2237767183241886e-13	1.9845236565174673e-15	0.0	0.0	0.009863070907096483	0.00011619998913298537	0.0017958128323392463	0.0	0.0	0.0
LINK/USDT	4	3.1068897454744615e-15	2.970956813896919e-13	3.282096816548119e-15	0.0	0.0	0.027045412154526494	0.0002721119512451299	0.003647503422424313	0.0	0.0	0.0
LINK/USDT	12	7.802786194943678e-15	3.8413716652030416e-13	7.875644580934704e-15	0.0	0.0	0.04573077534450942	-0.00011260243495166587	0.006522996688717736	0.0	0.0	0.0
LINK/USDT	24	1.5966394872890532e-14	2.8199664825478976e-13	1.6427831317500363e-14	0.0	0.0	0.05054780347645127	0.0002688002362381833	0.009482776140656997	0.0	0.0	0.0
LTC/USDT	1	1.115427195053087e-15	5.795364188543317e-13	1.5248219353836134e-15	0.0	0.0	0.011420833157005483	0.00016866973290966065	0.0014651702000963226	0.0	0.0	0.0
LTC/USDT	4	2.5326962749261384e-15	5.52891066263328e-13	2.383510055992133e-15	0.0	0.0	0.016199948146376708	0.0003714315246769449	0.0030946716475409117	0.0	0.0	0.0
LTC/USDT	12	4.336808689942018e-15	3.107514245925813e-13	4.8780424144467815e-15	0.0	0.0	0.03842730442875053	7.030113291071469e-05	0.00556179185694178	0.0	0.0	0.0
LTC/USDT	24	8.559125630469566e-15	2.9898306053155466e-13	6.480926906249351e-15	0.0	0.0	0.043039811825938745	0.0004261342898143045	0.007943433776370716	0.0	0.0	0.0
AVAX/USDT	1	1.6258695778592624e-15	2.5723867480564877e-13	1.7277845820728999e-15	0.0	0.0	0.014528664258490864	0.00011251573196465714	0.0019475753111375955	0.0	0.0	0.0
AVAX/USDT	4	4.3532885629637974e-15	3.7281289166912757e-13	3.776493007201509e-15	0.0	0.0	0.02282657215902162	0.00027260647678090696	0.003915911046650556	0.0	0.0	0.0
AVAX/USDT	12	1.1148200418364951e-14	1.0792478022381147e-12	5.9674487573602164e-15	0.0	0.0	0.044463251888921085	0.000135893039573418	0.007027978870507125	0.0	0.0	0.0
AVAX/USDT	24	1.5334955527634975e-14	1.1183276527049202e-12	1.3350431871117507e-14	0.0	0.0	0.05203096200076218	0.00038325260897425166	0.010077382165185425	0.0	0.0	0.0
