ts	pair	grade	ret_24h	net_24h	mfe_24h	mae_24h
2026-05-31T05:30:00+00:00	AVAX/USDT	A	-0.0154627788822619	-0.0174627788822619	0.0022089684117516	-0.0280538988292466
2026-06-07T08:45:00+00:00	AVAX/USDT	B	-0.0306953738725631	-0.0326953738725631	0.0130928135001455	-0.0532441082339248
2026-06-07T22:00:00+00:00	AVAX/USDT	B	-0.0133643230679838	-0.0153643230679838	0.011621150493899	-0.0502614758861127
2026-06-10T12:30:00+00:00	AVAX/USDT	B	0.0003051106025935	-0.0016948893974064	0.0166285278413425	-0.0387490465293668
2026-06-11T03:45:00+00:00	AVAX/USDT	B	0.0093982113081703	0.0073982113081703	0.0166742458693345	-0.0183416704562681
2026-06-14T21:15:00+00:00	AVAX/USDT	B	0.0388334844363855	0.0368334844363855	0.0696585071018434	0.0
2026-06-20T07:15:00+00:00	AVAX/USDT	B	0.0030600740860042	0.0010600740860042	0.013367692059913	-0.0293122886133031
2026-06-22T01:15:00+00:00	AVAX/USDT	B	-0.0031710797526558	-0.0051710797526558	0.0261614079594101	-0.0223561122562232
2026-06-23T14:00:00+00:00	AVAX/USDT	B	-0.0072111616240788	-0.0092111616240788	0.0258661232168051	-0.0169305533782724
2026-06-26T22:30:00+00:00	AVAX/USDT	B	-0.0173047473200613	-0.0193047473200613	0.0223583460949463	-0.029709035222052
2026-06-29T12:00:00+00:00	AVAX/USDT	B	-0.0333084391336818	-0.0353084391336818	0.0189693801344286	-0.0368932038834951
2026-06-29T17:00:00+00:00	AVAX/USDT	B	-0.0348837209302324	-0.0368837209302324	0.0041212834854282	-0.060200176626435
2026-07-02T09:30:00+00:00	AVAX/USDT	A	0.0119857946137911	0.0099857946137911	0.0196803788102988	-0.0060668836934004
2026-07-04T17:45:00+00:00	AVAX/USDT	B	-0.0232787810383747	-0.0252787810383747	0.0012697516930022	-0.0472629796839728
2026-07-05T22:15:00+00:00	AVAX/USDT	A	0.0021462297896694	0.0001462297896694	0.0141651166118186	-0.0393475461439404
2026-07-06T21:00:00+00:00	AVAX/USDT	B			0.0027135104255926	-0.0434161668094829
2026-05-01T03:15:00+00:00	BNB/USDT	A	-0.0058541777541245	-0.0078541777541245	0.0044672375699517	-0.0101278887867499
2026-05-01T12:15:00+00:00	BNB/USDT	A	-0.0054376764824526	-0.0074376764824526	0.0049858814037919	-0.0096167809600645
2026-05-03T22:30:00+00:00	BNB/USDT	A	0.0044401544401544	0.0024401544401544	0.0279922779922778	-0.0096364221364221
2026-05-04T04:00:00+00:00	BNB/USDT	B	-0.0140667778581992	-0.0160667778581992	0.0054441891934418	-0.0244516474179437
2026-05-05T13:00:00+00:00	BNB/USDT	B	0.0325097940098573	0.0305097940098573	0.0493175786680146	-0.0082617212182485
2026-05-06T12:15:00+00:00	BNB/USDT	B	-0.0117215448082689	-0.0137215448082689	0.011188747316984	-0.0232451934054893
2026-05-11T22:45:00+00:00	BNB/USDT	A	-0.0056710492933574	-0.0076710492933574	0.0043726774814569	-0.0292208276747205
2026-05-13T01:00:00+00:00	BNB/USDT	B	0.0007115960506418	-0.0012884039493581	0.0165149583419812	-0.015966436386278
2026-05-14T12:45:00+00:00	BNB/USDT	B	0.006619977884261	0.004619977884261	0.0172945079248065	-0.0065757464061924
2026-05-15T07:15:00+00:00	BNB/USDT	B	-0.0395732665774001	-0.0415732665774001	0.0042207603190311	-0.0449438202247191
2026-05-20T05:30:00+00:00	BNB/USDT	B	0.0163408864541831	0.0143408864541831	0.0209163346613545	-0.0019920318725099
2026-05-25T12:00:00+00:00	BNB/USDT	A	-0.0062330094171009	-0.0082330094171009	0.0109040116549767	-0.0157252068908546
2026-05-29T16:30:00+00:00	BNB/USDT	B	0.0994391013191218	0.0974391013191218	0.1009306878389086	-0.0082192632184086
